Description:
Note:\Note
Interval:5min
Start date: 2:04:05,  1 Oct 2020
time[s],temp,L1_680,L1_720,L2_680,L2_720,L3_680,L3_720,L4_680,L4_720,L5_680,L05_720,L6_680,L6_720,L7_680,L7_720,L8_680,L8_720
0,36.509,0.137,0.072,0.17,0.104,0.164,0.083,0.186,0.099,0.174,0.089,0.173,0.094,0.142,0.084,0.134,0.055,
300,36.157,0.139,0.073,0.172,0.103,0.163,0.082,0.187,0.099,0.177,0.092,0.17,0.094,0.145,0.083,0.137,0.058,
600,37.423,0.141,0.075,0.171,0.103,0.165,0.085,0.191,0.104,0.179,0.094,0.175,0.098,0.147,0.086,0.138,0.06,
900,38.374,0.143,0.076,0.168,0.102,0.164,0.083,0.194,0.104,0.175,0.092,0.175,0.096,0.145,0.084,0.141,0.062,
1200,38.189,0.14,0.074,0.169,0.1,0.168,0.086,0.188,0.101,0.177,0.092,0.173,0.095,0.146,0.085,0.137,0.058,
1500,37.996,0.137,0.07,0.168,0.1,0.163,0.08,0.189,0.101,0.177,0.092,0.173,0.096,0.144,0.084,0.135,0.056,
1800,37.956,0.141,0.074,0.17,0.102,0.164,0.084,0.191,0.103,0.178,0.092,0.171,0.094,0.145,0.085,0.135,0.055,
2100,37.918,0.14,0.073,0.17,0.104,0.164,0.083,0.194,0.104,0.179,0.093,0.175,0.097,0.147,0.086,0.135,0.056,
2400,38.039,0.138,0.072,0.17,0.101,0.165,0.088,0.191,0.103,0.176,0.091,0.177,0.1,0.145,0.084,0.141,0.061,
2700,37.963,0.14,0.075,0.169,0.101,0.169,0.085,0.193,0.103,0.177,0.092,0.176,0.099,0.149,0.089,0.139,0.06,
3000,37.965,0.141,0.074,0.176,0.107,0.166,0.084,0.193,0.103,0.18,0.095,0.179,0.102,0.151,0.091,0.137,0.059,
3300,38.029,0.142,0.076,0.173,0.104,0.167,0.085,0.194,0.107,0.18,0.096,0.177,0.101,0.149,0.092,0.14,0.061,
3600,38.03,0.139,0.073,0.17,0.102,0.169,0.088,0.199,0.11,0.181,0.098,0.179,0.101,0.15,0.09,0.142,0.063,
3900,37.947,0.143,0.077,0.174,0.105,0.171,0.091,0.196,0.108,0.181,0.099,0.177,0.099,0.148,0.088,0.138,0.06,
4200,37.929,0.146,0.077,0.176,0.104,0.167,0.087,0.193,0.105,0.186,0.101,0.18,0.103,0.149,0.09,0.141,0.061,
4500,37.976,0.142,0.075,0.179,0.11,0.171,0.09,0.197,0.106,0.184,0.099,0.18,0.101,0.15,0.09,0.142,0.064,
4800,37.943,0.146,0.077,0.176,0.107,0.17,0.086,0.198,0.108,0.181,0.095,0.18,0.102,0.151,0.092,0.139,0.06,
5100,37.999,0.145,0.079,0.179,0.108,0.174,0.093,0.196,0.108,0.181,0.096,0.183,0.106,0.156,0.093,0.143,0.064,
5400,38.012,0.146,0.078,0.179,0.109,0.169,0.09,0.199,0.111,0.184,0.098,0.18,0.101,0.155,0.096,0.143,0.063,
5700,37.947,0.146,0.08,0.179,0.109,0.174,0.092,0.201,0.116,0.189,0.103,0.178,0.1,0.159,0.095,0.144,0.066,
6000,38.001,0.149,0.082,0.18,0.111,0.175,0.095,0.2,0.112,0.19,0.104,0.181,0.104,0.152,0.093,0.143,0.067,
6300,38.01,0.149,0.082,0.183,0.114,0.177,0.096,0.203,0.116,0.184,0.1,0.187,0.111,0.156,0.099,0.142,0.066,
6600,37.983,0.151,0.082,0.188,0.115,0.178,0.093,0.202,0.114,0.192,0.106,0.186,0.11,0.154,0.095,0.149,0.069,
6900,37.918,0.151,0.083,0.187,0.117,0.176,0.093,0.202,0.113,0.191,0.108,0.184,0.105,0.16,0.099,0.152,0.072,
7200,37.9,0.15,0.082,0.184,0.112,0.183,0.099,0.206,0.117,0.191,0.106,0.188,0.11,0.159,0.101,0.148,0.068,
7500,37.99,0.151,0.083,0.19,0.118,0.18,0.094,0.203,0.116,0.198,0.116,0.192,0.112,0.165,0.103,0.149,0.071,
7800,38.005,0.152,0.083,0.186,0.115,0.182,0.1,0.206,0.119,0.192,0.109,0.192,0.115,0.165,0.105,0.153,0.073,
8100,38.012,0.156,0.088,0.194,0.121,0.181,0.099,0.211,0.119,0.195,0.112,0.189,0.11,0.165,0.103,0.156,0.077,
8400,38.049,0.156,0.087,0.191,0.118,0.185,0.103,0.213,0.121,0.192,0.106,0.191,0.113,0.169,0.105,0.158,0.079,
8700,38.025,0.153,0.085,0.196,0.123,0.189,0.103,0.21,0.12,0.201,0.116,0.195,0.117,0.171,0.108,0.156,0.075,
9000,37.967,0.155,0.086,0.194,0.117,0.189,0.103,0.214,0.121,0.196,0.11,0.2,0.12,0.168,0.108,0.161,0.081,
9300,37.867,0.156,0.086,0.202,0.127,0.195,0.106,0.214,0.122,0.204,0.118,0.204,0.118,0.174,0.113,0.158,0.077,
9600,38.049,0.157,0.087,0.198,0.122,0.192,0.106,0.216,0.122,0.207,0.12,0.197,0.117,0.17,0.11,0.163,0.081,
9900,38.023,0.154,0.085,0.206,0.129,0.192,0.106,0.222,0.134,0.201,0.117,0.204,0.124,0.173,0.111,0.166,0.083,
10200,37.952,0.157,0.086,0.199,0.125,0.2,0.113,0.226,0.131,0.213,0.128,0.201,0.123,0.177,0.111,0.167,0.082,
10500,37.976,0.161,0.092,0.206,0.13,0.193,0.107,0.227,0.132,0.206,0.122,0.203,0.122,0.177,0.118,0.172,0.084,
10800,37.981,0.162,0.091,0.212,0.132,0.199,0.113,0.223,0.13,0.208,0.122,0.209,0.131,0.182,0.118,0.166,0.086,
11100,37.932,0.167,0.094,0.208,0.133,0.204,0.109,0.232,0.137,0.212,0.125,0.208,0.127,0.185,0.121,0.17,0.08,
11400,38.072,0.166,0.094,0.208,0.133,0.201,0.113,0.235,0.136,0.21,0.121,0.209,0.127,0.185,0.124,0.171,0.089,
11700,38.07,0.165,0.094,0.22,0.135,0.2,0.113,0.24,0.142,0.215,0.125,0.213,0.132,0.188,0.125,0.172,0.085,
12000,37.978,0.164,0.096,0.218,0.14,0.206,0.12,0.234,0.138,0.217,0.13,0.216,0.139,0.186,0.121,0.173,0.091,
12300,37.961,0.169,0.098,0.215,0.136,0.211,0.121,0.231,0.137,0.218,0.129,0.217,0.133,0.192,0.128,0.178,0.093,
12600,37.965,0.171,0.098,0.217,0.135,0.208,0.117,0.239,0.14,0.22,0.132,0.218,0.136,0.191,0.13,0.176,0.092,
12900,37.969,0.165,0.095,0.22,0.139,0.205,0.113,0.237,0.143,0.227,0.135,0.216,0.134,0.19,0.125,0.178,0.09,
